Numéro_de_l'objet,Domaine,Dénomination,Appellation,Titre,Auteur,Précisions_sur_l'auteur,Lieu_de_création,Période_de_création,Millésime,Période_de_l'original_copié,Epoque,Utilisation,Période_d'utilisation,Millésime_d'utilisation,Dimensions,Matériaux-techniques,Géographie_historique,Découverte,Sujet,Source_de_la_représentation,Onomastique,Statut_juridique,Date_d'acquisition,Date_de_dépôt,Ancien_dépôt,ID-notice,Lieu_de_conservation,Identifiant_Museofile,Date_d'import,Date_de_mise_à_jour,Label_Musée_de_France,Ecole,Dépôt,ville,geolocalisation_ville
3239,dessin,,,VIEILLE FERME A SAINT-OUEN-DES-VALLONS,MESSAGER Jean-Baptiste,"Laval, 1811 ; Laval, 1885",,3e quart 19e siècle,1840 entre ; 1860 et,,,,,,21.8 H ; 28.8 L,mine de plomb;gouache blanche;papier (beige),,,"vue d'architecture (ferme, chemin, mur, escalier, maison, arbre, poule, Saint-Ouen-des-Vallons)",,,propriété de la commune ; donation ; Laval ; musée du Vieux Château,1910,,,000DE019173,Laval;musée du vieux château,M0766,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Laval,"48.072653,-0.770364"
INV 18.33.18,dessin,,,OUESSANT ; VIEILLE ILIENNE,BOUSSU Emile,"Rennes, 1889 ; en mer au large d'Ouessant, 1916",,1ER QUART 20E SIECLE,1915 EN,,,,,,H. 63.4 ; L. 48,FUSAIN;PAPIER (BLANC),,,"portrait d'inconnu (vieille, en buste, de trois-quarts, Breton)",,,propriété de la commune ; don ; Rennes ; musée des Beaux-Arts,1918 inscrit sur l'inventaire,,,000DE019234,Rennes;musée des beaux-arts,M0211,,2007-09-10,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Rennes,"48.113844,-1.681632"
INV 69.8.1,dessin,,,FIN DES TEMPS,GIGON Michel,"Caen, 1929",,3e quart 20e siècle,1965,,,,,,38 H ; 37.7 L,encre noire;papier (blanc),,,représentation non figurative,,,propriété de la commune ; achat ; Rennes ; musée des Beaux-Arts,1969,,,000DE019277,Rennes;musée des beaux-arts,M0211,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Rennes,"48.113844,-1.681632"
INV 19.84.6,dessin,,,TRANCHEES DU SECTEUR DE VERDUN,GALLE Pierre,"Rennes, 1883 ; Rennes, 1960",,1er quart 20e siècle,1918,,,,,,11.5 H ; 18.2 L,mine de plomb;fusain;pastel;papier (beige),,,"paysage (tranchée, Verdun, Première Guerre mondiale)",,,propriété de la commune ; achat ; Rennes ; musée des Beaux-Arts,1919,,,000DE019287,Rennes;musée des beaux-arts,M0211,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Rennes,"48.113844,-1.681632"
INV 19.84.5,dessin;histoire,,,ENTREE DU MARECHAL PETAIN A STRASBOURG,GALLE Pierre,"Rennes, 1883 ; Rennes, 1960",,1er quart 20e siècle,1918,,,,,,25.4 H ; 31.1 L,fusain;mine de plomb;pastel;papier (beige),,,"scène historique (attente, entrée : Pétain Philippe, soldat, cavalerie, foule, cadre urbain, Strasbourg)",,,propriété de la commune ; achat ; Rennes ; musée des Beaux-Arts,1919,,,000DE019289,Rennes;musée des beaux-arts,M0211,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Rennes,"48.113844,-1.681632"
INV 65.25.5.2,dessin,double face,,BUSTES D'HOMMES ET DE FEMMES,DUVAL Jean Charles,"Paris, 1880 ; Paris, 1963",,1er quart 20e siècle,,,,,,,27.5 H ; 19.5 L,mine de plomb;crayon noir;papier (brun),,,"figure (homme, en buste) ; figure (femme, en buste)",,,propriété de la commune ; achat ; Rennes ; musée des Beaux-Arts,1965,,,000DE019301,Rennes;musée des beaux-arts,M0211,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Rennes,"48.113844,-1.681632"
INV 78.2.27,dessin,,,RIVAGE D'OUESSANT,LANGLAIS Xavier de,"Sarzeau, 1906 ; Rennes, 1975",,2e quart 20e siècle;3e quart 20e siècle,,,,,,,37.8 H ; 54.9 L,fusain;aquarelle;gouache;papier (blanc),,,"paysage (bord de mer, île)",,,propriété de la commune ; achat ; Rennes ; musée des Beaux-Arts,1978,,,000DE019333,Rennes;musée des beaux-arts,M0211,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Rennes,"48.113844,-1.681632"
INV 57.1.1,dessin,,,NU,LANGLAIS Xavier de,"Sarzeau, 1906 ; Rennes, 1975",,2e quart 20e siècle;3e quart 20e siècle,,,,,,,65 H ; 50 L,pierre noire;peinture vinylique;papier (blanc),,,"figure (femme, assis, de dos, de profil, nu)",,,propriété de la commune ; achat ; Rennes ; musée des Beaux-Arts,1957,,,000DE019337,Rennes;musée des beaux-arts,M0211,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Rennes,"48.113844,-1.681632"
INV 78.2.31,dessin,,,JEUNE FILLE AU POMMIER,LANGLAIS Xavier de,"Sarzeau, 1906 ; Rennes, 1975",,2e quart 20e siècle,194.en,,,,,,62.8 H ; 47.6 L,fusain;papier (blanc),,,"figure (fillette, en buste, de trois-quarts, pomme, bâton) ; pommier ; vache ; ferme",,,propriété de la commune ; achat ; Rennes ; musée des Beaux-Arts,1978,,,000DE019339,Rennes;musée des beaux-arts,M0211,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Rennes,"48.113844,-1.681632"
004466,photographie;architecture;ethnologie,carte postale,,"La poterne gallo-romaine découverte en 1933, dans les ruines du château",YVON (éditions d'art),,Paris (lieu d'édition),,,,,correspondance,,,,procédé photomécanique;monochrome (sépia),,,"Ardèche d ; vue d'architecture (poterne, ruines, jardin, arbre)",,,propriété de l'Etat,,,,5002C004466,Marseille;musée des Civilisations de l'Europe et de la Méditerranée,M5002,2001-09-18,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Marseille,"43.2804,5.3806"
004530,photographie;ethnologie,carte postale,,"POELE EN FAIENCE POLYCHROME DE MOUSTIERS DU 18E SIECLE, SORTI D'UNE MAISON D'ANNONAY EN 1934",YVON (éditions d'art),,Paris (lieu d'édition),,,,,correspondance,,,,procédé photomécanique;monochrome (sépia),,,"représentation d'objet (poele, 18e siècle, plaque de cheminée, soupière, tableau, armoiries, ornement à forme végétale)",,,propriété de l'Etat,,,,5002C004530,Marseille;musée des Civilisations de l'Europe et de la Méditerranée,M5002,2001-09-18,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Marseille,"43.2804,5.3806"
004605,photographie;architecture;ethnologie,carte postale,,"L'ARDECHE ILLUSTREE / 4157 / LA LOUVESC. - VUE GENERALE, PRISE DU MONT BESSET (ALT. 1050 M.) / (PERSPECTIVE DE LA FONTAINE SAINT-REGIS)",MARGERIT-BREMOND (éditions d'art),,Haute-Loire : Le Puy-en-Velay (lieu d'exécution),,,,,correspondance,,,,procédé photomécanique;noir et blanc,,,"Lalouvesc ; vue d'architecture (village, maison, église) ; paysage (colline, champ, arbre)",,,propriété de l'Etat,,,,5002C004605,Marseille;musée des Civilisations de l'Europe et de la Méditerranée,M5002,2001-09-18,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Marseille,"43.2804,5.3806"
CFA C 186 23 V,dessin,double face,,Bateau au mât brisé,ROUX Antoine,"Marseille, 1765 ; Marseille, 1835",,1er quart 19e siècle,1801,,,,,,15 H ; 19.3 L,plume;encre noire;aquarelle;papier (beige),,,"paysage (bateau à voiles, drapeau, personnage, tonneau, mer, vent)",,,propriété de l'Etat ; don ; Blérancourt ; Musée National de la Coopération Franco-Américaine,1928 avant,,,000DE025448,Blérancourt;musée national de la coopération franco-américaine,M5008,,2006-09-06,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Blérancourt,"49.516035,3.150459"
78.28.3 C,estampe;ethnologie,,imagerie,J'APPORTE DE L'ARGENT ; (titre inscrit),anonyme,,Loiret : Orléans (lieu d'édition),4e quart 18e siècle,,,,,,,"H. 30.7, l. 4.2","bois de fil, colorié au pochoir;papier vergé",,,"scène (homme, conversation, commerçant : dépouille : lapin, vêtement : époque Louis XVI, cage, homme : aveugle, homme : portage : eau, auberge, crédit : mort, oie) ; ornementation (ornement à forme végétale)",,,propriété de l'Etat ; achat ; musée national des Arts et Traditions Populaires,1978,,,5002E002881,Marseille;musée des Civilisations de l'Europe et de la Méditerranée,M5002,2000-11-02,2004-06-07,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Marseille,"43.2804,5.3806"
CFA A 203,dessin,,,PORTRAIT PRESUME DE L'AMIRAL DE GRASSE,BOZE Joseph (école),"Martigues, 1744 ; Paris, 1826",,4e quart 18e siècle,,,,,,,55.5 H2 ; 48 L2,pastel;papier (blanc),,,"portrait (Grasse François Joseph Paul comte de, amiral : Français, homme, en buste, de trois-quarts, vêtement : époque Louis XVI, perruque)",,,propriété de l'Etat ; don ; Blérancourt ; Musée National de la Coopération Franco-Américaine,1948 avant,,,000DE025468,Blérancourt;musée national de la coopération franco-américaine,M5008,,2007-10-11,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Blérancourt,"49.516035,3.150459"
CFA C 140 8 (1),dessin,,,Croquis indiens divers,SAINTIN Jules Emile,"Lemée, 1829 ; Paris, 1914",,3e quart 19e siècle,,,,,,,10.2 H2 ; 6.8 L2,crayon noir;papier (blanc),,,"figure (homme : tête, Indien d'Amérique du nord, de trois-quarts, couvre-chef : plume) ; représentation d'objet (bijou : Indien d'Amérique du nord) ; représentation d'objet (carquois : Indien d'Amérique du nord)",,,propriété de l'Etat ; don ; Blérancourt ; Musée National de la Coopération Franco-Américaine,1928 avant,,,000DE025471,Blérancourt;musée national de la coopération franco-américaine,M5008,,2006-09-06,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Blérancourt,"49.516035,3.150459"
54 C 3,dessin,,,Chefs Pawnee en costume de guerre,SAINTIN Jules Emile,"Lemée, 1829 ; Paris, 1894",,3e quart 19e siècle,,,,,,,11.8 H2 ; 14 L2,mine de plomb;aquarelle;papier (beige),,,"figure (homme, Indien d'Amérique du nord, chef militaire, assis, de face, vêtement : Indien d'Amérique du nord, couvre-chef : plume, bijou) ; figure (homme, Indien d'Amérique du nord, chef militaire, assis, de face, vêtement : Indien d'Amérique du nord, couvre-chef : plume, bijou) ; figure (homme : tête, Indien d'Amérique du nord, de face, plume)",,,propriété de l'Etat ; achat ; Blérancourt ; Musée National de la Coopération Franco-Américaine,1954,,,000DE025474,Blérancourt;musée national de la coopération franco-américaine,M5008,,2006-09-06,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Blérancourt,"49.516035,3.150459"
80.72.7 C,estampe;histoire;ethnologie,,imagerie,"MESSIEURS DELAUNAY FLEXELLES BERTHIER FOULON ET LES DEUX GARDES DU CORPS QUI ONT ETE DECOLES PAR / LE PEUPLE, ... (titre inscrit)",anonyme,,France (lieu d'édition),4e quart 18e siècle,1789 (après),,,,,,"H. 25.4, l. 39","taille douce, colorié;papier vergé",,,"scène (Révolution française, Launay Bernard Jordan de, sans tête, Flesselles Jacques de, sans tête, Berthier Louis Alexandre, Foulon Joseph François, sans tête, tête, pique, barque, Caron, Boulanger Rémy François, sans tête, chargement, Calas Jean, en pied, retrouvailles)",,,propriété de l'Etat ; achat ; musée national des Arts et Traditions Populaires,1980,,,5002E002996,Marseille;musée des Civilisations de l'Europe et de la Méditerranée,M5002,2000-11-02,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Marseille,"43.2804,5.3806"
INV 65 22 402,dessin;ethnologie,,,DEUX CROQUIS DE MONUMENTS,RECIPON Georges,"Paris, 1860 ; Paris, 1922",,4e quart 19e siècle;1er quart 20e siècle,,,,,,,15 H ; 24.4 L,crayon noir;papier (beige),,,"vue d'architecture (architecture commémorative votive funéraire, soubassement, socle, base, colonne, chapiteau, entablement, sculpture, char, cheval, personnage) ; vue d'architecture (architecture commemorative votive funeraire, soubassement, socle, base, colonne, chapiteau, entablement)",,,propriété du département ; don ; Oise ; musée départemental de l'Oise,1964,,,000DE022571,Beauvais;musée départemental de l'Oise,M0798,,1995-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Beauvais,"49.433589,2.086266"
INV 65 22 404 V,dessin;ethnologie,double face,,DECOR SCULPTE D'UN AUTEL AVEC PONTIFE ORTHODOXE,RECIPON Georges,"Paris, 1860 ; Paris, 1922",,4e quart 19e siècle;1er quart 20e siècle,,,,,,,31.9 H ; 49.1 L,crayon noir;papier (beige),,,"scène (autel, sculpture, prêtre : orthodoxie, en pied, de face, vêtement liturgique, couvre-chef, barbe, personnage, agenouillé, tableau : ange : en vol)",,,propriété du département ; don ; Oise ; musée départemental de l'Oise,1964,,,000DE022574,Beauvais;musée départemental de l'Oise,M0798,,1995-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Beauvais,"49.433589,2.086266"
INV 65 22 417,dessin;ethnologie,,,CAVALIER EN PIED,RECIPON Georges,"Paris, 1860 ; Paris, 1922",,4e quart 19e siècle;1er quart 20e siècle,,,,,,,11.3 H ; 10.9 L,plume;encre noire;papier filigrane (beige),,,"figure (équestre passant, de trois-quarts, tête d'animal : levé, harnachement : équitation, cavalier, vêtement)",,,propriété du département ; don ; Oise ; musée départemental de l'Oise,1964,,,000DE022590,Beauvais;musée départemental de l'Oise,M0798,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Beauvais,"49.433589,2.086266"
CFA C 188 2,dessin;histoire,pendant,,Le dernier lever des couleurs : La cession de la Nouvelle-Orléans (1803),anonyme,,,1er quart 19e siècle,,,,,,,27.7 H2 ; 41.2 L2,gouache;papier (collé en plein) (blanc),,,"scène historique (?, soldat, France, Etats-Unis, uniforme, sabre, fusil, couvre-chef, lever : drapeau (Français, Américain), abri) ; fond de paysage (golfe, La Nouvelle-Orléans, ville, camp militaire, tente, personnage, montagne, bateau à voiles, cactus)",,,propriété de l'Etat ; don ; Blérancourt ; Musée National de la Coopération Franco-Américaine,1928 avant,,,000DE025562,Blérancourt;musée national de la coopération franco-américaine,M5008,,2006-09-06,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Suisse (?),,Blérancourt,"49.516035,3.150459"
CFA C 322,dessin;histoire,,,"BAILLY CONDUIT VOLTAIRE ET AUTRES PRECURSEURS DE LA REVOLUTION FRANÇAISE VERS LA CITE FUTURE OU SE VOIENT LE TEMPLE DE FRANKLIN ET DE MIRABEAU, L'OBELISQUE DE LOUIS XVI, DE LA FAYETTE ET BAILLY ET UN GRAND NOMBRE DE SINGULIERS MONUMENTS COMMEMORATIFS DES HOMMES ET DES ACTES DE LA REVOLUTION FRANÇAISE",anonyme,,,4e quart 18e siècle,,,,,,,31.5 H2 ; 44.5 L2,gouache;papier (blanc),,,"scène (allégorie : homme politique : Révolution française, Bailly Jean Sylvain, Voltaire, cité : imagination, temple, obélisque monumental, architecture commémorative votive funéraire, nuée, ange, trompette, tablette : loi, allégorie : dispute)",,,propriété de l'Etat ; don ; Blérancourt ; Musée National de la Coopération Franco-Américaine,1929 avant,,,000DE025564,Blérancourt;musée national de la coopération franco-américaine,M5008,,2007-10-11,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Blérancourt,"49.516035,3.150459"
995.1.124.2 A ; BA3.3.4,estampe;ethnologie,carte réclame,chromo,Le chasseur chassé (titre inscrit),Bataille (éditeur),,Paris (lieu d'édition),4e quart 19e siècle,1896,,,publicité (chicorée : Bourgeois),,,"H. 6.4, l. 9.7","chromolithographie, carton",,,"scène (homme, chasseur, fusil, sac, fuite, vache)",,,propriété de l'Etat ; achat ; musée national des Arts et Traditions Populaires,1995,,,5002E003493,Marseille;musée des Civilisations de l'Europe et de la Méditerranée,M5002,2001-01-18,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Marseille,"43.2804,5.3806"
77.985.0.27,dessin,élément d'ensemble,,"LE SCHACHENMUHL, ENVIRONS DE STRASBOURG",anonyme,,,1ère moitié 19e siècle,,,,,,,23.2 H ; 30.1 L ; 17.4 H1 ; 25 L1,mine de plomb;papier (blanc);carton (beige);matériaux colles l'un sur l'autre,,,"paysage (maison, pan-de-bois, palissade, rivière, barque, passerelle, chute d'eau, saule, tronc, Bas-Rhin d)",,,propriété de la commune ; mode d'acquisition inconnu ; Strasbourg ; Cabinet des Estampes et des dessins,date d'acquisition inconnue,,,000DE022850,Strasbourg;cabinet des estampes et des dessins,M0013,,1995-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; Alsace (?),,Strasbourg,"48.58353,7.746735"
CFA C 342 9,dessin,,,"Le Side, Wheeler",VAIL Jefferson,,,1er quart 19e siècle,,,,,,,13.3 H2 ; 21.3 L2,aquarelle;papier (blanc),,,"paysage (pré, arbre, végétation, maison, escalier, base, colonne, chapiteau, entablement, fronton, soubassement, fenêtre, balustrade, coupole, souche de cheminée, grille, Etats-Unis)",,,propriété de l'Etat ; don ; Blérancourt ; Musée National de la Coopération Franco-Américaine,1948 avant,,,000DE025589,Blérancourt;musée national de la coopération franco-américaine,M5008,,2006-09-06,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Etats-unis,,Blérancourt,"49.516035,3.150459"
995.1.133.33 A ; BV2.2.39,estampe,carte réclame,chromo,La Laitière / & le Pot au lait (titre inscrit),VIEILLEMARD & ses Fils (éditeur),,"France, Paris (lieu d'édition)",4e quart 19e siècle,1889 entre ; 1895 et,,,"publicité (chocolat, Louit)",,,"H. 10.8, l. 7","chromolithographie, emploi d'or, carton",,,"scène (jeune fille, paysanne, accident de transport, récipient : lait, village)",fable ; La Fontaine Jean de ; La Laitière et le Pot au lait,,propriété de l'Etat ; achat ; musée national des Arts et Traditions Populaires,1995,,,5002E003557,Marseille;musée des Civilisations de l'Europe et de la Méditerranée,M5002,2001-01-18,2012-05-02,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Marseille,"43.2804,5.3806"
