Identifiant,Adresse,Artiste,Atout,Catégorie,Code_Postal,Domaine_thématique,Département,Date_de_saisie,Histoire,Intérêt,Lieu,Nom_officiel,Nom_usage,Personnage_phare,Protection_bâtiment,Protection_espace,Région,Téléphone,Thèmes,URL,Ville,geolocalisation,coord_x,coord_y,merc_x,merc_y
M0092,rue des Eglises,,"expositions d'Archéologie, d'Arts et Traditions populaires de la vallée ossaloise, ainsi q'une présentation originale des richesses naturelles du Parc National : géologie, faune, flore ; haches en pierre des Néanderthaliens, sagaies des Magdaléniens, éléments de faucilles des Néolithiques, restes de bisons et d'ours des cavernes, de rhinocéros glaciaires ; activités ancestrales des bergers-éleveurs de brebis, vaches et chevaux, des carriers, hommes de la pierre, avec leurs fêtes, leurs rites, costumes et musique",,64260,Archéologie;Sciences de la nature;Ethnologie,Pyrénées-Atlantiques,2019-01-21,,"Hôtel Pouts : ancienne abbaye laïque construite au XVIIe siècle, monument historique restauré en 1971",Parc national des Pyrénées occidentales,musée municipal,Musée d'Arudy et du Parc National des Pyrénées,,,,Nouvelle-Aquitaine,05 59 05 61 71,"Sciences de la nature : Botanique,Ornitologie;Antiquités nationales : Préhistoire;Ethnologie : Métiers et outils, Pratiques religieuses et collectives",http://www.museearudy.com/,Arudy,"43.105742,-0.427534",43.105742,-0.427534,-47592.86717681143,5328080.73238691
M0542,Place Georges Trimouille,"Jean-Baptiste Augustin, Gallé, Le Corbusier, Lurçat, Bazaine, Manessier, Le Moal, Ubac, Bitran, Messagier, Zao Wou-ki, Léger, Delaunay, Chagall, Dali, Tanguy, Miro, Moore","Collections archéologiques qui proviennent du camp celtique de la Pierre d'Appel et surtout de la Bure ; Salle Jules Ferry avec la reconstitution de son cabinet de travail. Le musée permet de suivre la carrière et la vie de cet homme politique dont l'action marque encore notre siècle, et de se plonger dans l'ambiance d'une école des années 1950 ; Jean-Baptiste Jacques Augustin, né à Saint-Dié-des-Vosges en 1759, miniaturiste de renom à l'époque de Napoléon Ier et de Louis XVIII ; Henri Valentin, principal dessinateur de la revue «L'Illustration» entre 1844 et 1855, également originaire de la région ; Reconstitution d'une partie de l'appartement du poète surréaliste Yvan Goll né à Saint-Dié ; Collection militaire : uniformes, armes, munitions et documents concernant l'armée allemande de 1860 à 1945 et l'armée française de 1800 à 1960 ; Vitrines consacrées à René Fonck, as de l'aviation en 1914-1918, né près de Saint-Dié-des-Vosges, à la Résistance et à la déportation ; Plans et maquettes du projet de reconstruction de Saint-Dié-des-Vosges élaboré par Le Corbusier après la Seconde Guerre mondiale. Photos et plans de l'usine Claude et Duval (sise avenue de Robache), seul bâtiment industriel conçu et réalisé par Le Corbusier ; Collections d'arts décoratifs comprenant des faiences régionales et un service décoré par Gallé ; Montres ; Autour de 53 maquettes des vitraux contemporains de la cathédrale sont regroupées des oeuvres de la non- figuration ; Quelques tapisseries (Jean Lurçat est né à 30 km de Saint-Dié-des-Vosges) et un fonds d'art contemporain regroupant des créateurs du Grand Est complètent ces collections ; Evocation des schlitteurs, des scieurs de long, des fabricants de bardeaux, des perceurs de tuyaux de fontaine, des flotteurs de bois et des sagards ; Dioramas et vitrines permettent de connaître les espèces d'oiseaux caractéristiques des différents milieux d'Europe, de la toundra arctique aux côtes méditerranéennes",,88100,Archéologie;Arts décoratifs;Art moderne et contemporain;Beaux-arts;Ethnologie;Histoire;Sciences de la nature;Technique et industrie,Vosges,2019-01-21,"Le premier musée, créé en 1878, fut détruit pendant la Seconde Guerre mondiale. Le fonds des collections a été réuni à partir de 1945 par la Société philomatique vosgienne puis par les achats de la Ville. Les collections s'organisent sur 3 axes : la Déodatie, terre de conflits et d'échanges (Nos ancêtres les Gaulois, de Déodat à la Révolution, Claire et Yvan Goll, Jules Ferry, Saint-Dié des Vosges selon Le Corbusier) , la Déodatie, terroir naturel et économique (ornithologie, forêt vosgienne, le temps des schlitteurs et des hauts-fers, élevage, agriculture, textile artisanal, arts décoratifs) , la Déodatie, une rencontre avec les arts.","Aldo Travaglini, architecte du musée Pierre Noël, confère au musée un caractère monumental. À la fois imposant et sobre, l'édifice trouve sa complexité et son intérêt dans le jeu de contrastes imaginé par l'architecte.» - Le musée de Saint-Dié par Aldo Travaglini, entre modernité et tradition par Éléonore Buffler et Jade Berger . La façade du musée est ponctuées par 3 fresques de Françoise Schrepfer-Malaprade: «Promenade dans un parc», «Le Banquet» (qui souligne l'escalier médiéval) et enfin la fresque «mouvement vers la connaissance».	<b><i>Musée de France</i></b>, au sens de la loi n°2002-5 du 4 janvier 2002",,musée Pierre Noël - musée de la vie dans les Hautes-Vosges,Musée Pierre Noël,"Jules Ferry, né à Saint-Dié. René Fonck, héros de l'aviation pendant la guerre de 1914/1918",Classement au titre des Monuments Historiques (1931 et 1933),Aux abords d'un monument historique ; Dans un site patrimonial remarquable,Grand Est,03 29 51 60 35,"Archéologie nationale : Préhistoire, Gallo-romain;Architecture et urbanisme;Art moderne et contemporain;Arts décoratifs : Céramique, montres et coqs de montre);Beaux-Arts : Dessin, Estampe et Affiche, Peinture;Collections militaires : Armes, Uniformes, Cuirasses;Numismatique;Ethnologie : Métiers et Outils;Histoire : Histoire locale et régionale, Histoire militaire;Sciences de la nature : Botanique, Minéralogie, Ornithologie",https://www.saint-die.eu/culture/musee-pierre-noel,Saint-Dié-des-Vosges,"48.295658,6.947961",48.295658,6.947961,773443.4805715239,6156183.496999738
M0011,"9, rue Jeanne d'Arc",,"La métallurgie dans les Vosges du Nord s'est développée à partir du 17e siècle en raison de la présence combinée de minerai de fer, de castine utilisée comme fondant dans les hauts-fourneaux, de forêts pour l'alimentation en charbon de bois et de rivières pour la force motrice. Au musée du Fer vous revivrez en particulier trois siècles de l'histoire des de Dietrich, maîtres de forges, de la fabrication du wagon trappe à celle des automotrices du TGV. Les poêles en fontes richement ornés produit par De Dietrich sont également à découvrir. En plus du thème central portant sur le fer, le musée évoque les grands moments de la cité au travers d'objets en provenance de fouilles archéologiques, de documents, de sceaux, de maquettes des deux châteaux.",,67110,Archéologie;Histoire;Technique et industrie,Bas-Rhin,2019-01-21,"Constitué à partir d'une collection d'archéologie locale, le musée s'est spécialisé, avec l'aide de la direction régionale des affaires culturelles, dans l'évocation de l'industrie du fer, principalement autour de l'activité de l'entreprise De Dietrich.",,,musée Historique et Industriel - musée du Fer,Musée du Fer,Famille de Dietrich,,Aux abords d'un monument historique,Grand Est,03 88 80 34 49 / 03 88 80 89 30,Histoire : Histoire locale et régionale;Sciences et techniques : Industrie (Sidérurgie),http://www.musee-reichshoffen.webmuseo.com,Reichshoffen,"48.932234,7.664814",48.932234,7.664814,853243.1915051544,6263370.73421288
M0457,rue  Cité-Foulc,"Bassano, Lelio Orsi, Fontata, Andea della Robbia, Rubens, Fabritius, Coeke, Duck, J.F. deTroy, Subleyras, Sigalon, Delaroche, Giambono, Bassano, Preti, Maître du Saint-Sang, Bramer, Rubens, Boel, De Heem, Chaperon, Reynaud Levieux, Boucher, De Troy, Natoire, Sigalon, Delaroche, Charles Natoire","Grande mosaïque antique retrouvée à Nîmes en 1883 dont le médaillon central représente les Noces d'Admète ; Le tondo Foulc du XVe siècle : Madone en faïence par Andrea della Robbia ; Peintures du XVe au XIXe siècle : écoles française, italienne et nordique ; Collections de sculptures",,30000,Beaux-arts,Gard,2008-12-24,"Le fonds municipal de peintures et sculptures est installé, avec les collections archéologiques dans la Maison Carrée à partir de 1824. Les collections de Beaux-Arts sont transférées en 1907 dans le bâtiment actuel",Le bâtiment qui abrite le musée a été construit entre 1902 et 1906 par l'architecte nîmois Max Raphel . Il a été remanié en 1948 et en 1960. L'espace muséographique a été remanié en 1986-1987 par l'architecte Jean-Michel Wilmotte,,musée des Beaux-Arts,,,,,Occitanie,04 66 76 35 70,"Antiquités étrangères : Grecques et romaines;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture",http://www.nimes.fr/index.php?id=279,Nîmes,"43.832001,4.36081",43.832001,4.36081,485443.14864621527,5439480.652097802
M0119,53 route nationale,,Plus de 500 pièces de dentelle sont exposées avec tous les instruments de la véritable dentellière,,63220,Ethnologie;Arts décoratifs,Puy-de-Dôme,2008-02-01,"C'est à partir de 1875 que la dentelle à la main d'Arlanc acquiert ses lettres de noblesse avec la Dentelle à l'aiguille dite ""Dentelle Renaissance"". Depuis 1991, les caves voutées de l'Hôtel de Ville abritent le musée municipal de la dentelle à la main",Le musée est installé dans les caves voutées de l'hôtel de ville,Hôtel de ville,musée de la dentelle,,,,,Auvergne-Rhône-Alpes,04 73 95 00 03,"Ethnologie : Costume, Métiers et outils;Arts décoratifs : Textiles",http://www.arlanc.com/musee_dentelle.htm,Arlanc,"45.414373,3.724421",45.414373,3.724421,414600.64921977476,5686993.645528461
M0474,Square Georges Auric rue de la République,"Paul Dardé , Albert Dupin, Max Théron, Roger Barthélémy, Atlan, Braque, Caillebotte, Camoin, Courbet, Dufy, Gris, Guillaumin, Jawlensky, Kisling, Léger, Loiseau, Luce, Manguin, Masson, Pascin, Poliakoff, Soutine, Valadon, Vlaminck","Trois collections, un récit : traces de gouttes de pluie tombées il y a 285 millions d'années, traces de pas d'une famille qui explore une grotte il y a 9 000 ans, traces du burin dans la pierre qui donnent naissance à une sculpture de Paul Dardé (1888-1963)... chaque oeuvre, chaque objet présenté, est l'occasion d'un récit, d'une «tranche de vie», autour d'un thème commun, la trace et l'empreinte. Les collections illustrent 540 millions d'années d'histoire des paysages, l'occupation du territoire par l'homme au Néolithique, leurs activités, leurs savoir-faire. Le musée est par ailleurs l'institution de référence pour la production du sculpteur Paul Dardé (1888-1963) dont il possède le fonds d'atelier.",,34700,Archéologie;Art moderne et contemporain;Beaux-arts;Sciences de la nature,Hérault,2019-01-21,"Le musée de Lodève a été créé en plusieurs étapes. Tout commence en 1957, avec l'installation d'un musée de préhistoire et de paléontologie dans la chapelle des Carmes (il ouvre en 1963). Puis en 1973, ouverture du musée Paul Dardé. En 1987, ces deux musées fusionnent et sont installés dans l'hôtel de Fleury. En 1997, création de l'annexe Dardé dans les halles du centre-ville. Un réaménagement partiel de la muséographie consacrée aux Sciences de la Terre et à l’Archéologie est réalisé en 1997. Après l’acquisition d’un hôtel voisin en vue de l’extension et de la restructuration du musée en 2009, un concours d’architecte est lancé en 2010. Les objectifs du projet sont l’accessibilité du musée aux personnes à mobilité réduite, l’amélioration de l’accueil des publics, de la conservation des oeuvres, ainsi que la revalorisation des collections permanentes grâce à une muséographie moderne.",Hôtel particulier du XVIIe siècle,Hôtel du Cardinal de Fleury,Musée de Lodève – hôtel du cardinal de Fleury,Musée de Lodève – hôtel du cardinal de Fleury,Paul Dardé,Classement au titre des Monuments Historiques,Aux abords d'un monument historique ; Dans un site patrimonial remarquable,Occitanie,04 67 88 86 10,"Préhistoire, Protohistoire, Gallo-romain, Paléo-chrétien, Médiéval;Art moderne et contemporain;Beaux-Arts (du Moyen-Age au XXe siècle), Dessin, Peinture, Sculpture;Collections militaires : Uniformes, Armures;Moulages;Ethnologie : Métiers et Outils, Pratiques religieuses et collectives;Histoire : Histoire locale et régionale;Sciences de la nature : Géologie, Minéralogie, Paléontologie;Sciences et techniques : Industrie (Mines et textile)",http://www.museedelodeve.fr,Lodève,"43.731613,3.319595",43.731613,3.319595,369535.625039897,5424002.18231008
M0518,7 avenue Carcano,,"Deuxième collection d'ivoire de France : ivoires européens et asiatiques du XVIIe au XIXe siècle (plat Jeanne d'Arc, Tour à Ivoirien du Duc de Choiseul, ministre de Louis XV), ensemble de défenses brutes et sculptées, statuettes et bijoux en ivoire, espace réservé au travail et aux techniques à travers les outils, des photographies d'artisans, vidéo (sculpture, tournage, moulage), la matière et ses propriétés (dents de morse, d'hippopotames, de narvals) ; Collections de céramiques de grands centres de productions européens et chinois des XVIIe et XVIIIe (la Compagnie des Indes, Delft, Moustiers, Lunéville, Sarreguemines, Sèvres, Les Islettes, Strasbourg) ; Armes",,55200,Arts décoratifs;Beaux-arts;Ethnologie;Technique et industrie,Meuse,2019-01-21,"Les collections du musée, issues de trois legs, sont d'abord installées à l'Hôtel de Ville dès 1948 (ancien hôtel de l'Echevinage du XVIIIème siècle), avant d'occuper les lieux actuels. Inauguré en 1997, le musée est installé dans l'ancien complexe des bains-douches municipaux . Collections municipales issues du fond (dons, legs) Carcano, Boyer, Recouvreur. Essentiellement ivoires, faïences mais aussi tableaux et armes. Collections départementales (ivoires, faïences) mise en dépôt.",Anciens bains douches,,musée de la Céramique et de l'Ivoire,Musée de la Céramique et de l'Ivoire,,,,Grand Est,03 29 92 04 77,"Arts décoratifs : Céramique, Orfèvrerie, Ivoires;Collections militaires : Armes;Ethnologie : Métiers et Outils",http://musees-meuse.fr/,Commercy,"48.76331,5.58962",48.76331,5.58962,622233.6521278978,6234795.065613738
M0554,Le placet,,"Charroi, transport, artisanat local, outils et objets agricoles ; Outillage complet d'artisanat local ; Histoire et technologie de la roue et des véhicules avant la motorisation (du véhicule à traction animale au véhicule motorisé moderne. Evolution des techniques et adaptation) ; Ethnologie du Ségala ; Une dizaine de films sur les métiers anciens et sur les techniques agricoles anciennes. Les outils et véhicules exposés ne sont pas restaurés et ne constituent pas de copie.",,12120,Technique et industrie,Aveyron,2019-01-21,"Premiers dépôts du musée du Rouergue et objets relatifs au transport rural avant la motorisation et aux métiers de charron et de forgeron avant 1975. Inauguré en 1980. Depuis 1975, dons ou dépôts à l'association ""les amis du musée de Salmiech"".",Eglise désaffectée,,musée du Charroi Rural,,,,,Occitanie,05 65 74 23 55,"Image animée, Photographie, Ouvrages de bibliophilie;Ethnologie : Métiers et Outils;Sciences fondamentales : Physique;Sciences et techniques : Transports terrestres",http://www.aveyron-culture.com,Salmiech,"44.202302,2.587674",44.202302,2.587674,288058.55201899336,5496802.443751966
M0601,1 rue Jouxaygues,,"Collections d'art sacré, de beaux-arts, d'archéologie, d'art et traditions populaires",,81500,Archéologie;Art moderne et contemporain;Beaux-arts;Histoire,Tarn,2019-01-21,"Un premier musée a été créé à Lavaur en 1898, au sein même de l'Hôtel de Ville. Il bénéficia alors de quelques dépôts de l'Etat. Abandonné, il est relancé en 1952 par la Société Archéologique de Lavaur et dénommé musée du Pays Vaurais. Situé dans une très belle chapelle du XVIIe siècle rue de la Mairie, le musée s'enrichit de nombreux dons et dépôts. En 2002, l'établissement semi-associatif devient définitivement municipal. En 2001, la ville de Lavaur a fait l'acquisition de l'ancien monastère des soeurs du Christ, vaste édifice et jardins situés au coeur du castrum, dans le but d'y créer un vaste pôle culturel regroupant, à terme, une médiathèque, un centre d'archives anciennes et un musée. Ancienne chapelle du monastère, la salle d'exposition temporaire du musée accueille, depuis 2002, deux grandes manifestations annuelles (mai/août et octobre/décembre)et de nombreuses expositions temporaires tout au long de l'année. Service des publics très actif. PSC du futur Musée du Pays de Cocagne en cours de validation (2e semestre 2018)",Ancien monastère,Chapelle du musée,musée du Pays Vaurais,musée de Lavaur81500,"Georges Artemoff, Paul Sibra, Edouard Debat-Ponsan, Puget (orgues), etc...",,Aux abords d'un monument historique,Occitanie,05 63 58 03 42,"Archéologie nationale : Préhistoire, Gallo-romain, Médiéval;Art religieux;Arts décoratifs : Céramique, Orfèvrerie, Textiles, Verrerie;Arts du spectacle : Cirque;Beaux-Arts : Dessin, Peinture, Sculpture;Collections militaires : Armes;Sigillographie;Ethnologie : Costume, Pratiques religieuses et collectives;Histoire : Histoire locale et régionale, Histoire religieuse;Musique : Instruments, Souvenirs de compositeurs et interprètes;Sciences de la nature : Paléontologie",http://www.ville-lavaur.fr/article.php3?id_article=75&id_rubrique=36&lang=fr,Lavaur,"43.698318,1.820763",43.698318,1.820763,202686.41001523315,5418874.275592013
M0672,2 place Sainte-Anne,"Charles Léandre, Paul Huet","Mobilier, bijoux et coiffes normandes ; Peintures et sculptures, notamment le fonds d'atelier de Charles Léandre (1862-1934) ; Panneaux décoratifs de Paul Huet (1803-1869). Constitution d'un fonds concernant la reconstruction de la ville de Vire au cours des années 1950.",,14500,Arts décoratifs;Beaux-arts;Ethnologie,Calvados,2019-01-21,"Le musée a été créé en 1866 à l'instigation d'Arcisse de Caumont et à l'issue d'un congrès de l'Association normande. Il ne s'agit au départ que de quelques armoires dans la salle de lecture de la bibliothèque municipale, située dans l'hôtel de ville. Dépôts de l'Etat, dons et legs viennent rapidement enrichir ce fonds. Le musée est entièrement détruit les 6 et 7 juin 1944. Reconstitué grâce aux dommages de guerre et à des dons, il a été officiellement inauguré en 1972. Il fait l'objet d'un projet de rénovation qui a pour objectif l'amélioration de l'accueil des publics, des conditions de conservation et de présentation des collections. Le parcours de visite est entièrement réécrit et fera l'objet d'une nouvelle scénographie. Réouverture prévue en 2020.","Après sa destruction en 1944, le musée renaît au sein de l'hôtel-Dieu des Augustines de Vire, vendu à la commune en 1956. Les façades du bâtiment construit au XVIIIe siècle ont été inscrites sur la liste des monuments historiques en 1972.",,musée municipal,Musée de Vire Normandie,"Charles Léandre, Paul Huet",,,Normandie,02 31 66 66 50,,http://www.facebook.com/museeVire,Vire Normandie,"48.835996,-0.888245",48.835996,-0.888245,-98878.98109967128,6247079.0248695975
M0612,Allée Chanoine Biévelet,,"Ouvert en 1976, le Forum antique de Bavay est Musée de France depuis 2002. Sa création s’imposait suite aux découvertes archéologiques depuis le XVIIIe siècle. En effet, un forum romain tripartite avait été mis au jour. Ce forum du IIe siècle est le plus grand découvert en Gaule. À l’époque gallo-romaine, Bavay était la capitale de la cité des Nerviens, dont le territoire s’étendait jusqu’à l’actuelle Bruxelles. Musée de France, monument historique et site archéologique d’intérêt national, le Forum antique de Bavay est un équipement de référence sur l’archéologie des Hauts de France. Le Trésor des bronzes nouvellement réaménagé, la restitution 3D du forum, désormais proposée en réalité augmentée sur le site en sont les fers de lance.",Musée de site,59570,Archéologie;Histoire,Nord,2019-01-21,"Implanté dans la zone archéologique au bord du forum romain, le musée abrite le produit des fouilles de Bagacum, la capitale des Nerviens. Les collections, locales de 1906 à 1936, sont devenues nationales après cette date.",,,Forum antique de Bavay,Musée/site archéologique départemental de Bavay,Le trésor des Bronzes,,Aux abords d'un monument historique ; Dans un site classé,Hauts-de-France,03 59 73 15 50,"Antiquités étrangères : Grecques et romaines;Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval, Moderne",http://forumantique.lenord.fr/fr/Accueil.aspx,Bavay,"50.284781,3.774369",50.284781,3.774369,420160.83514591714,6495741.747070602
M0941,place Grammont,"Pierre Bonnard, Georges Braque, H.E.Cross, A.Derain, Raoul Dufy, A.Maillol, Albert Marquet, Henry Matisse, Georges Rouault, Georges Seurat, R. de la Fresnaye, Félix Valloton, Paul Signac, Maurice Utrillo, K.Von Dongen, M. de Vlaminck, Edouard Vuillard, Charles Camoin, Maurice Denis, André Dunoyer de Segonzac, Othon Friesz, Marcel Gromaire, Henry Lebasque, André Lhote, Henri Manguin, Ker-Xavier Roussel, Suzanne Valandon, Francis Picabia","Le musée rappelle que le village de Saint-Tropez a été l'un des foyers les plus actifs de l'avant-garde picturale au début du XXe siècle, grâce à Paul Signac qui découvrit en 1892 ce petit port de pêcheurs. Séduit par le pays, Signac y acheta une maison dont il fit son atelier, La Hune, etil y invita de nombreux peintres : Cross, Matisse, Derain, Marquet. Les collections présentées s'échelonnent de 1890 à 1950",,83990,Beaux-arts,Var,2009-08-04,"Les collections ont été réunies parun iche industriel, Georges Grammont. En 1950, la chapelle Notre-Dame de l'Annonciade fut mise par la commune à la disposition de Georges Grammont qui le fit transformer à ses frais pour y présenter sa collection. Georges Grammont offrit alros les pièces majeures de sa collection à la ville de Saint-Tropez. Le musée fut inauguré le 7 août 1955","Le musée est installé dans l'ancienne chapelle Notre-Dame de l'Annonciade, érigée en 1568 pour la confrérie des Pénitents Blancs, et désaffectée à la Révolution. Elle fut aménagée en 1937 pour recevoir les collections du Museon Tropelen, puis réaménagé par l'architecte Louis Süe à la demande de Georges Grammont",,musée de l'Annonciade,,,Classement au titre des Monuments Historiques,,Provence-Alpes-Côte d'Azur,04 94 97 04 01,"Beaux-Arts : Dessin, Peinture, Sculpture",http://www.saint-tropez.tv/html/annonciade.html,Saint-Tropez,"43.270865,6.637291",43.270865,6.637291,738859.8543667776,5353291.561016405
M0435,31 Grande rue,"Jules Dupré, Daubigny, Vlaminck, Auguste Boulard, Emile Boggio, Madeleine Luka, L. Lemaire, Jules-Romain Joyant.","Oeuvres de l'Ecole du Val d'Oise du XIXe siècle (Jules Dupré, Daubigny, Auguste Boulard), sujets en céramique des manufactures de L'Isle-Adam (XIXe-XXe siècles), souvenirs des Bourbon Conti (XVIe-XVIIIe siècles), fonds des écrivains Georges Duhamel et Francis Carco, documents historiques et iconographie locale.",,95290,Beaux-arts,Val-d'Oise,2019-01-21,"Constituées à l’origine par un cercle de donateurs proches du fondateur de l’association - le docteur Louis Senlecq – puis grâce à la générosité des descendants d’artistes, de collectionneurs et de mécènes, les collections du musée racontent l’histoire de la ville et de son territoire. Aux généreuses donations dont le musée bénéficie régulièrement, s’ajoute une politique dynamique d’achats et de mises en dépôt de grands musées nationaux comme le Louvre, le musée Orsay ou le château de Versailles, initiée en 1992 par le premier conservateur du musée et toujours soutenue par la Municipalité. Jules Dupré et l’Ecole des bords de l’Oise : l’axe principal de la collection de peintures s’articule autour de l’Ecole des bords de l’Oise et de son principal représentant Jules Dupré (1811-1889) qui, après avoir participé à l’école de Barbizon, installa son atelier à L’Isle-Adam avec son ami Théodore Rousseau (1812-1867). Portraitiste du paysage, Jules Dupré, après un séjour en Angleterre puis en Normandie durant lequel il peindra de superbes marines, immortalisera sur le motif les bucoliques paysages de la vallée de l’Oise. Après 1850, la vallée de l’Oise a séduit une pléiade d’artistes venus travailler entre Beaumont et Pontoise : Camille Corot (1796-1875), Charles-François Daubigny (1817-1878), Fernand Quignon (1854-1941), Louis Renet-Tener (1845-1925), Léon Fort (1870-1965) ou encore Maurice de Vlaminck (1876-1958). C’est ainsi toute une géographie sentimentale et pittoresque qui se découvre au travers de leurs dessins et peintures. L’Isle-Adam au XVIIIe siècle : constituée de peintures et de gravures, cet ensemble retrace l’urbanisation de L’Isle-Adam sous l’influence de commanditaires prestigieux : les princes de Conti, aristocrates à l’origine de la construction d’un splendide château aujourd’hui disparu mais dont la maquette permet l’évocation et les Bergeret, mécènes du peintre Fragonard et inventeurs d’un des plus beaux parcs à folies français. Un important dépôt consenti par le musée des Beaux-Arts de Bordeaux permet l’exposition temporaire des aquarelles préparatoires exécutées par Bergeret pour l’édification des fabriques du parc. Le fonds d’atelier de Jules Romain Joyant (1803-1854), un Canaletto français : virtuose de l’aquarelle, cet artiste qui se rendit en Italie sur les conseils de Bonington en 1829 fut subjugué par Venise, qu’il évoqua sans cesser de rendre hommage à ses prestigieux prédécesseurs italiens du XVIIIe siècle, Pannini, Canaletto et Guardi. La donation faite en 1974 de 141 dessins (par François Barbier, petit-fils d’un neveu de l’artiste), puis celle en 1980 de la grande peinture du Campo Vaccino (par les petits-enfants de Madame Sabatier) sont tout à fait admirables au titre de l’enrichissement des collections du musée. La présence de cet ensemble extrêmement complet, depuis les esquisses préparatoires jusqu’aux huiles les plus achevées offre un véritable voyage dans les arcanes de la création d’un grand vedutiste romantique. Les trésors de la collection d’estampes : Edouard Knecht (1789-1890) neveu d’Aloys Senefelder inventeur à Munich de la lithographie en 1796, s’installa à L’Isle-Adam vers 1835. Sa présence dans la ville est l’occasion d’évoquer les incunables de la lithographie et les plus belles oeuvres gravées que recèle la collection du musée, riche de près de six cents planches. Les Arts décoratifs à L’Isle-Adam au XXe siècle : les manufactures de terres cuites d’édition décoratives Hanne (1890-1908) et Joseph Le Guluche (1849-1915), modeleur de plusieurs centaines de sujets, sur les thèmes de l’orientalisme, la vie paysanne ou maritime. Editées par dizaines, ces figurines restent pourtant uniques par l’extraordinaire travail de reprises et de retouches à la main dont elles faisaient l’objet après démoulage. Tombées en désuétude après avoir fait pendant longtemps la célébrité de L’Isle-Adam, ces scènes de genre réalistes témoignent de ce goût de la sculpture d’édition et de la diffusion p opulaire des grands modèles sculptés exposés aux Salons. La manufacture Méran : fondée à la fin du XIXe siècle par Georges Méran, cette entreprise s’est spécialisée dans les grès et dans les pièces de formes aux couvertes épaisses. De prestigieux décorateurs firent appel à elle, dont Süe et Mare, fondateurs en 1919 de la Compagnie des Arts Français. Christian Fjerdingstad (1891-1968), un orfèvre art déco : chef de file du renouvellement de l’orfèvrerie au début du XXe siècle, ce Danois travaillera pour la maison Christofle de 1925 à 1947 créant un vocabulaire formel très novateur en parvenant à une vision plus organique et sensuelle de la forme et de la matière. Fjerdingstad est aussi un artiste indépendant qui développe de nombreux modèles dans son atelier de L’Isle-Adam, où il emploiera jusqu’à une dizaine d’ouvriers. Jacques Henri Lartigue (1894-1986) : familier de la ville de L’Isle-Adam, ami intime du maire Michel Poniatowski (1922-2002), Jacques Henri Lartigue (peintre et photographe) a séjourné plusieurs années de suite, après la Seconde Guerre mondiale, à Piscop près de Domont, et peint de nombreux paysages du Val-d’Oise. En 1985, il fait avec sa femme Florette une importante donation à la ville. À la mort de Jacques Henri en 1986, Florette Lartigue enrichit généreusement ce fonds, portant la collection à plus de 300 oeuvres, qui seront le point de départ de la création, en 1998, du Centre d’art Jacques Henri Lartigue de L’Isle-Adam. Après la mort de Florette, 1100 peintures sont encore déposées à la ville par la Fondation de France.",Il se trouve dans un ancien hôtel particulier du XVIIIe siècle appelé «petit hôtel Bergeret»,,musée d'Art et d'Histoire Louis Senlecq,Musée d'art et d'histoire Louis Senlecq,"Jules Dupré, J.R. Joyant, Francis Carco, Théodore Rousseau, Adolphe Willette, Charles Agard, Auguste Boulard, Joseph Le Guluche, Pierre Gatier, ...",,,Ile-de-France,01 34 69 45 44,"Architecture et urbanisme;Art moderne et contemporain;Arts décoratifs : Céramique;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Autres collections : Archives papier, Fonds ancien d imprimés, Manuscrits, incunables, Ouvrages de bibliophilie, Plans;Ethnologie : Costume;Histoire : Histoire locale et régionale, Biographie",http://www.musee.ville-isle-adam.fr,L'Isle-Adam,"49.112285,2.21638",49.112285,2.21638,246726.29300439567,6293935.329914131
